scenario_id,plan_id,year,metric,value,unit
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,total_demand,100,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,critical_demand,80,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,delivered,122.88,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,losses,5.53,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,served_demand,100,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,closing_inventory,17.35,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2035,reserve_required,12.33,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,total_demand,140,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,critical_demand,105,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,delivered,147.9,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,losses,1.77,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,served_demand,140,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,closing_inventory,23.48,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2036,reserve_required,17.26,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,total_demand,190,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,critical_demand,135,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,delivered,199.8,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,losses,2.4,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,served_demand,190,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,closing_inventory,30.88,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2037,reserve_required,23.42,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,total_demand,250,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,critical_demand,170,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,delivered,261.8,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,losses,3.14,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,served_demand,250,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,closing_inventory,39.54,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2038,reserve_required,30.82,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2039,total_demand,320,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2039,critical_demand,210,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2039,delivered,332.6,t
BASE,ZBO2036+LUNAR_ISRU2037__BASE,2039,losses,3.99,t
