scenario_id,plan_id,year,metric,value,unit
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,total_demand,110,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,critical_demand,88,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,delivered,135.14,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,losses,6.08,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,served_demand,110,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,closing_inventory,19.06,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,reserve_required,13.56,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,total_demand,154,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,critical_demand,115.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,delivered,162.7,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,losses,1.95,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,served_demand,154,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,closing_inventory,25.81,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,reserve_required,18.99,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,total_demand,209,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,critical_demand,148.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,delivered,224.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,losses,2.69,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,served_demand,209,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,closing_inventory,38.61,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,reserve_required,25.77,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,total_demand,312.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,critical_demand,212.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,delivered,327.2,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,losses,3.93,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,served_demand,312.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,closing_inventory,49.39,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,reserve_required,38.53,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,total_demand,400,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,critical_demand,262.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,delivered,415.8,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,losses,4.99,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,served_demand,400,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,closing_inventory,60.2,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,reserve_required,49.32,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,total_demand,487.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,critical_demand,312.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,delivered,493.4,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,losses,5.92,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,served_demand,487.5,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,shortage,0,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,closing_inventory,60.18,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,total_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,critical_service_level,1,share
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,reserve_required,60.1,t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,procurement,837.87,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,reservation,60.81,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,holding,11.76,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,fixed_opex,0,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,capex,360,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,total_cost,1270.44,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2035,discounted_cost,1270.44,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,procurement,1008.74,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,reservation,73.22,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,holding,16.15,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,fixed_opex,12,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,capex,180,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,total_cost,1290.11,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2036,discounted_cost,1205.71,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,procurement,1422.95,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,reservation,95.85,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,holding,23.19,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,fixed_opex,12,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,capex,1250,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,total_cost,2803.99,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2037,discounted_cost,2449.11,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,procurement,1742.12,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,reservation,96.66,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,holding,25.75,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,fixed_opex,82,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,capex,0,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,total_cost,1946.53,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2038,discounted_cost,1588.95,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,procurement,2289.18,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,reservation,117.24,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,holding,39.45,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,fixed_opex,82,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,capex,0,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,total_cost,2527.87,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2039,discounted_cost,1928.5,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,procurement,2936.26,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,reservation,132.51,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,holding,43.33,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,fixed_opex,82,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,capex,0,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,total_cost,3194.1,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,2040,discounted_cost,2277.35,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,,total_cost_horizon,13033.05,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,,discounted_cost_horizon,10720.07,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,,capex_horizon,1790,mln_units
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,,cost_per_served_t,7.79,mln_units_per_t
BASE,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,,end_horizon_reserve_days,45.06,days
