scenario_id,plan_id,year,metric,value,unit
BASE,LUNAR_ISRU2037__BASE,2035,total_demand,80,t
BASE,LUNAR_ISRU2037__BASE,2035,critical_demand,64,t
BASE,LUNAR_ISRU2037__BASE,2035,delivered,98.27,t
BASE,LUNAR_ISRU2037__BASE,2035,losses,4.42,t
BASE,LUNAR_ISRU2037__BASE,2035,served_demand,80,t
BASE,LUNAR_ISRU2037__BASE,2035,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2035,closing_inventory,13.84,t
BASE,LUNAR_ISRU2037__BASE,2035,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2035,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2035,reserve_required,9.86,t
BASE,LUNAR_ISRU2037__BASE,2036,total_demand,112,t
BASE,LUNAR_ISRU2037__BASE,2036,critical_demand,84,t
BASE,LUNAR_ISRU2037__BASE,2036,delivered,122.5,t
BASE,LUNAR_ISRU2037__BASE,2036,losses,5.51,t
BASE,LUNAR_ISRU2037__BASE,2036,served_demand,112,t
BASE,LUNAR_ISRU2037__BASE,2036,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2036,closing_inventory,18.83,t
BASE,LUNAR_ISRU2037__BASE,2036,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2036,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2036,reserve_required,13.81,t
BASE,LUNAR_ISRU2037__BASE,2037,total_demand,152,t
BASE,LUNAR_ISRU2037__BASE,2037,critical_demand,108,t
BASE,LUNAR_ISRU2037__BASE,2037,delivered,165.3,t
BASE,LUNAR_ISRU2037__BASE,2037,losses,7.44,t
BASE,LUNAR_ISRU2037__BASE,2037,served_demand,152,t
BASE,LUNAR_ISRU2037__BASE,2037,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2037,closing_inventory,24.69,t
BASE,LUNAR_ISRU2037__BASE,2037,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2037,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2037,reserve_required,18.74,t
BASE,LUNAR_ISRU2037__BASE,2038,total_demand,200,t
BASE,LUNAR_ISRU2037__BASE,2038,critical_demand,136,t
BASE,LUNAR_ISRU2037__BASE,2038,delivered,216.7,t
BASE,LUNAR_ISRU2037__BASE,2038,losses,9.75,t
BASE,LUNAR_ISRU2037__BASE,2038,served_demand,200,t
BASE,LUNAR_ISRU2037__BASE,2038,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2038,closing_inventory,31.64,t
BASE,LUNAR_ISRU2037__BASE,2038,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2038,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2038,reserve_required,24.66,t
BASE,LUNAR_ISRU2037__BASE,2039,total_demand,256,t
BASE,LUNAR_ISRU2037__BASE,2039,critical_demand,168,t
BASE,LUNAR_ISRU2037__BASE,2039,delivered,275.3,t
BASE,LUNAR_ISRU2037__BASE,2039,losses,12.39,t
BASE,LUNAR_ISRU2037__BASE,2039,served_demand,256,t
BASE,LUNAR_ISRU2037__BASE,2039,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2039,closing_inventory,38.55,t
BASE,LUNAR_ISRU2037__BASE,2039,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2039,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2039,reserve_required,31.56,t
BASE,LUNAR_ISRU2037__BASE,2040,total_demand,312,t
BASE,LUNAR_ISRU2037__BASE,2040,critical_demand,200,t
BASE,LUNAR_ISRU2037__BASE,2040,delivered,326.7,t
BASE,LUNAR_ISRU2037__BASE,2040,losses,14.7,t
BASE,LUNAR_ISRU2037__BASE,2040,served_demand,312,t
BASE,LUNAR_ISRU2037__BASE,2040,shortage,0,t
BASE,LUNAR_ISRU2037__BASE,2040,closing_inventory,38.55,t
BASE,LUNAR_ISRU2037__BASE,2040,total_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2040,critical_service_level,1,share
BASE,LUNAR_ISRU2037__BASE,2040,reserve_required,38.47,t
BASE,LUNAR_ISRU2037__BASE,2035,procurement,609.25,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,reservation,44.22,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,holding,8.55,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,fixed_opex,0,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,capex,0,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,total_cost,662.02,mln_units
BASE,LUNAR_ISRU2037__BASE,2035,discounted_cost,662.02,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,procurement,759.5,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,reservation,55.13,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,holding,11.76,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,fixed_opex,0,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,capex,0,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,total_cost,826.39,mln_units
BASE,LUNAR_ISRU2037__BASE,2036,discounted_cost,772.33,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,procurement,1024.86,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,reservation,74.39,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,holding,15.67,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,fixed_opex,0,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,capex,1250,mln_units
BASE,LUNAR_ISRU2037__BASE,2037,total_cost,2364.91,mln_units
