scenario_id,plan_id,year,metric,value,unit
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,total_demand,100,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,critical_demand,80,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,delivered,122.88,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,losses,5.53,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,served_demand,100,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,shortage,0,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,closing_inventory,17.35,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,total_service_level,1,share
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,critical_service_level,1,share
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2035,reserve_required,12.33,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,total_demand,140,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,critical_demand,105,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,delivered,147.9,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,losses,1.77,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,served_demand,140,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,shortage,0,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,closing_inventory,23.48,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,total_service_level,1,share
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,critical_service_level,1,share
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2036,reserve_required,17.26,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2037,total_demand,190,t
MANDATORY_STRESS,ZBO2036+EARTH_NEW20352035__MANDATORY_STRESS,2037,critical_demand,135,t
