profile,weights,strategy,score,excluded_reason,cost_mln,service,capex_mln
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2037,0.911,,8715,1,1430
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2037,0.905,,8725,1,1430
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2037,0.883,,8801,1,1250
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2036,0.869,,8792,1,1430
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2036,0.863,,8801,1,1430
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2036,0.841,,8877,1,1250
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2037 + Earth-New 2036/2037,0.731,,8907,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,0.725,,8916,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2037 + Earth-New 2035/2036,0.718,,8929,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2037 + Earth-New 2035/2036,0.712,,8939,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2037 + Earth-New 2035/2035,0.711,,8933,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2037 + Earth-New 2036/2037,0.708,,8962,1,1610
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2037 + Earth-New 2035/2035,0.705,,8942,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2037 + Earth-New 2035/2036,0.696,,8984,1,1610
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2037 + Earth-New 2035/2035,0.691,,8978,1,1610
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,0.689,,8983,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,0.683,,8993,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2036 + Earth-New 2035/2036,0.676,,9006,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2036 + Earth-New 2035/2036,0.67,,9015,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + Earth-New 2035/2036,0.67,,8907,1,540
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + ISRU 2036 + Earth-New 2035/2035,0.669,,9009,1,1790
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ISRU 2036 + Earth-New 2036/2037,0.666,,9038,1,1610
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2036 + Earth-New 2036/2037,0.666,,8981,1,540
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + Earth-New 2035/2036,0.664,,8916,1,540
Оператор узла,cost:0.35 service:0.25 flexibility:0.2 capex:0.1 resilience:0.1,ZBO 2037 + ISRU 2036 + Earth-New 2035/2035,0.663,,9019,1,1790
