demand_factor,price_factor,isru_share_factor,feasible,min_service_total,shortage_t,total_cost_mln,failed
1,1,1,true,1,0,10578,
1,1,0.75,false,0.9239,35.9,10508,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1,1,0.5,false,0.8417,119.8,10498,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1,1.15,1,true,1,0,11654,
1,1.15,0.75,false,0.9239,35.9,11584,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1,1.15,0.5,false,0.8417,119.8,11574,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1,1.3,1,true,1,0,12731,
1,1.3,0.75,false,0.9239,35.9,12661,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1,1.3,0.5,false,0.8417,119.8,12651,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1,1,false,0.9666,21.4,10484,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1,0.75,false,0.8799,105.4,10472,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1,0.5,false,0.8016,189.3,10472,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1.15,1,false,0.9666,21.4,11560,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1.15,0.75,false,0.8799,105.4,11549,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1.15,0.5,false,0.8016,189.3,11549,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1.3,1,false,0.9666,21.4,12637,BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.05,1.3,0.75,false,0.8799,105.4,12626,BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
