parameter,factor,total_cost_mln,min_service_total,feasible,failed_constraints
demand,0.9,10763,1,false,STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2039 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040 STORAGE_OVERFLOW:2040
demand,0.95,10691,1,true,
demand,1,10578,1,true,
demand,1.05,10484,0.9666,false,BASE_TOTAL_SERVICE:2040 RESERVE_45D:2035 RESERVE_45D:2036 RESERVE_45D:2037 RESERVE_45D:2038 RESERVE_45D:2039 RESERVE_45D:2040
demand,1.1,10458,0.909,false,BASE_CRITICAL_SERVICE:2038 BASE_TOTAL_SERVICE:2037 BASE_TOTAL_SERVICE:2038 BASE_TOTAL_SERVICE:2039 BASE_TOTAL_SERVICE:2040 RESERVE_45D:2035 RESERVE_45D:2036 RESERVE_45D:2037 RESERVE_45D:2038 RESERVE_45D:2039 RESERVE_45D:2040
demand,1.2,10451,0.8333,false,BASE_CRITICAL_SERVICE:2038 BASE_TOTAL_SERVICE:2036 BASE_TOTAL_SERVICE:2037 BASE_TOTAL_SERVICE:2038 BASE_TOTAL_SERVICE:2039 BASE_TOTAL_SERVICE:2040 RESERVE_45D:2035 RESERVE_45D:2036 RESERVE_45D:2037 RESERVE_45D:2038 RESERVE_45D:2039 RESERVE_45D:2040
price_earth,0.9,9860,1,true,
price_earth,0.95,10219,1,true,
price_earth,1,10578,1,true,
price_earth,1.05,10936,1,true,
price_earth,1.1,11295,1,true,
price_earth,1.2,12013,1,true,
isru_delivery,0.9,10543,1,false,RESERVE_45D:2039 RESERVE_45D:2040
isru_delivery,0.95,10560,1,false,RESERVE_45D:2039 RESERVE_45D:2040
isru_delivery,1,10578,1,true,
isru_delivery,1.05,10578,1,true,
isru_delivery,1.1,10578,1,true,
isru_delivery,1.2,10578,1,true,
