year,source_id,name,available_fraction,reserved_t_per_year,ordered_t,delivered_t,payable_t,price_mln_per_t,variable_payment_mln,reservation_payment_mln
2035,A,Earth-Core,1,109.9,109.9,109.9,109.9,6.2,681.3800000000001,49.455000000000005
2035,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2035,C,Earth-New,0,0,0,0,0,7.1,0,0
2035,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2035,E,Emergency,1,0,0,0,0,13.8,0,0
2036,A,Earth-Core,1,147.9,147.9,147.9,147.9,6.2,916.98,66.555
2036,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2036,C,Earth-New,0,0,0,0,0,7.1,0,0
2036,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2036,E,Emergency,1,0,0,0,0,13.8,0,0
2037,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2037,B,Earth-Flex,1,9.8,9.8,9.8,9.8,8.9,87.22000000000001,1.47
2037,C,Earth-New,0,0,0,0,0,7.1,0,0
2037,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2037,E,Emergency,1,0,0,0,0,13.8,0,0
2038,A,Earth-Core,1,161.8,161.8,161.8,161.8,6.2,1003.1600000000001,72.81
2038,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2038,C,Earth-New,0,0,0,0,0,7.1,0,0
2038,D,Lunar-ISRU,0.8333333333333334,0,100,100,100,3,300,0
2038,E,Emergency,1,0,0,0,0,13.8,0,0
2039,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2039,B,Earth-Flex,1,22.6,22.6,22.6,22.6,8.9,201.14000000000001,3.39
2039,C,Earth-New,0,0,0,0,0,7.1,0,0
2039,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2039,E,Emergency,1,0,0,0,0,13.8,0,0
2040,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2040,B,Earth-Flex,1,84.7,84.7,84.7,84.7,8.9,753.83,12.705
2040,C,Earth-New,0,0,0,0,0,7.1,0,0
2040,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2040,E,Emergency,1,0,0,0,0,13.8,0,0
