year,source_id,name,available_fraction,reserved_t_per_year,ordered_t,delivered_t,payable_t,price_mln_per_t,variable_payment_mln,reservation_payment_mln
2035,A,Earth-Core,1,120.9,120.9,120.9,120.9,6.2,749.58,54.405
2035,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2035,C,Earth-New,0,0,0,0,0,7.1,0,0
2035,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2035,E,Emergency,1,0,0,0,0,13.8,0,0
2036,A,Earth-Core,1,162.7,162.7,162.7,162.7,6.2,1008.74,73.215
2036,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2036,C,Earth-New,0,0,0,0,0,7.1,0,0
2036,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2036,E,Emergency,1,0,0,0,0,13.8,0,0
2037,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2037,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2037,C,Earth-New,1,34.5,34.5,34.5,34.5,7.1,244.95,10.35
2037,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2037,E,Emergency,1,0,0,0,0,13.8,0,0
2038,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2038,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2038,C,Earth-New,1,37.2,37.2,37.2,37.2,7.1,264.12,11.16
2038,D,Lunar-ISRU,0.8333333333333334,0,100,100,100,3,300,0
2038,E,Emergency,1,0,0,0,0,13.8,0,0
2039,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2039,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2039,C,Earth-New,1,105.8,105.8,105.8,105.8,7.1,751.18,31.74
2039,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2039,E,Emergency,1,0,0,0,0,13.8,0,0
2040,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2040,B,Earth-Flex,1,53.4,53.4,53.4,53.4,8.9,475.26,8.01
2040,C,Earth-New,1,130,130,130,130,7.1,923,39
2040,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2040,E,Emergency,1,0,0,0,0,13.8,0,0
