year,source_id,name,available_fraction,reserved_t_per_year,ordered_t,delivered_t,payable_t,price_mln_per_t,variable_payment_mln,reservation_payment_mln
2035,A,Earth-Core,1,87.9,87.9,87.9,87.9,6.2,544.98,39.55500000000001
2035,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2035,C,Earth-New,0,0,0,0,0,7.1,0,0
2035,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2035,E,Emergency,1,0,0,0,0,13.8,0,0
2036,A,Earth-Core,1,122.5,122.5,122.5,122.5,6.2,759.5,55.125
2036,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2036,C,Earth-New,0,0,0,0,0,7.1,0,0
2036,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2036,E,Emergency,1,0,0,0,0,13.8,0,0
2037,A,Earth-Core,1,165.3,165.3,165.3,165.3,6.2,1024.8600000000001,74.385
2037,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2037,C,Earth-New,0,0,0,0,0,7.1,0,0
2037,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2037,E,Emergency,1,0,0,0,0,13.8,0,0
2038,A,Earth-Core,1,116.7,116.7,116.7,116.7,6.2,723.5400000000001,52.515
2038,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2038,C,Earth-New,0,0,0,0,0,7.1,0,0
2038,D,Lunar-ISRU,0.8333333333333334,0,100,100,100,3,300,0
2038,E,Emergency,1,0,0,0,0,13.8,0,0
2039,A,Earth-Core,1,155.3,155.3,155.3,155.3,6.2,962.8600000000001,69.885
2039,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2039,C,Earth-New,0,0,0,0,0,7.1,0,0
2039,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2039,E,Emergency,1,0,0,0,0,13.8,0,0
2040,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2040,B,Earth-Flex,1,16.7,16.7,16.7,16.7,8.9,148.63,2.505
2040,C,Earth-New,0,0,0,0,0,7.1,0,0
2040,D,Lunar-ISRU,1,0,120,120,120,3,360,0
2040,E,Emergency,1,0,0,0,0,13.8,0,0
