year,source_id,name,available_fraction,reserved_t_per_year,ordered_t,delivered_t,payable_t,price_mln_per_t,variable_payment_mln,reservation_payment_mln
2035,A,Earth-Core,1,109.9,109.9,109.9,109.9,6.2,681.3800000000001,49.455000000000005
2035,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2035,C,Earth-New,0,0,0,0,0,7.1,0,0
2035,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2035,E,Emergency,1,0,0,0,0,13.8,0,0
2036,A,Earth-Core,1,147.9,147.9,147.9,147.9,6.2,916.98,66.555
2036,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2036,C,Earth-New,0,0,0,0,0,7.1,0,0
2036,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2036,E,Emergency,1,0,0,0,0,13.8,0,0
2037,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2037,B,Earth-Flex,1,0,0,0,0,8.9,0,0
2037,C,Earth-New,1,14.5,14.5,14.5,14.5,7.1,102.94999999999999,4.35
2037,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2037,E,Emergency,1,0,0,0,0,13.8,0,0
2038,A,Earth-Core,1,171,171,171,171,7.75,1325.25,76.95
2038,B,Earth-Flex,1,0,0,0,0,11.125,0,0
2038,C,Earth-New,1,130,130,130,130,7.1,923,39
2038,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2038,E,Emergency,1,0,0,0,0,13.8,0,0
2039,A,Earth-Core,1,190,190,190,190,7.75,1472.5,85.5
2039,B,Earth-Flex,1,62.5,62.5,62.5,62.5,11.125,695.3125,9.375
2039,C,Earth-New,1,130,130,130,130,7.1,923,39
2039,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2039,E,Emergency,1,0,0,0,0,13.8,0,0
2040,A,Earth-Core,1,190,190,190,190,6.2,1178,85.5
2040,B,Earth-Flex,1,110,110,110,110,8.9,979,16.5
2040,C,Earth-New,1,130,130,130,130,7.1,923,39
2040,D,Lunar-ISRU,0,0,0,0,0,3,0,0
2040,E,Emergency,1,24,24,24,24,13.8,331.20000000000005,8.399999999999999
