scenario_id,strategy,plan_id,feasible,discounted_cost_mln,total_cost_mln,capex_mln,min_service_total,min_service_critical,shortage_total_t,end_horizon_reserve_days,flexibility_share,failed_constraints
BASE,ZBO 2036 + ISRU 2037,ZBO2036+LUNAR_ISRU2037__BASE,true,8715.15,10577.57,1430,1,1,0,45,0.316,
BASE,ZBO 2037 + ISRU 2037,ZBO2037+LUNAR_ISRU2037__BASE,true,8724.6,10599.45,1430,1,1,0,45,0.315,
BASE,ZBO 2036 + ISRU 2036,ZBO2036+LUNAR_ISRU2036__BASE,true,8791.58,10577.57,1430,1,1,0,45,0.316,
BASE,ISRU 2037,LUNAR_ISRU2037__BASE,true,8800.71,10721.94,1250,1,1,0,45,0.328,
BASE,ZBO 2037 + ISRU 2036,ZBO2037+LUNAR_ISRU2036__BASE,true,8801.03,10599.45,1430,1,1,0,45,0.315,
BASE,ISRU 2036,LUNAR_ISRU2036__BASE,true,8877.13,10721.94,1250,1,1,0,45,0.328,
BASE,ZBO 2036 + Earth-New 2035/2036,ZBO2036+EARTH_NEW20352036__BASE,true,8906.9,10925.35,540,1,1,0,45,0.067,
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2036/2037,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,8907,10760.52,1790,1,1,0,45,0.242,
BASE,ZBO 2036 + Earth-New 2035/2035,ZBO2036+EARTH_NEW20352035__BASE,true,8910.44,10909.18,540,1,1,0,45,0.06,
BASE,ZBO 2037 + Earth-New 2035/2036,ZBO2037+EARTH_NEW20352036__BASE,true,8916.35,10947.23,540,1,1,0,45,0.067,
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,8916.45,10782.41,1790,1,1,0,45,0.241,
BASE,ZBO 2037 + Earth-New 2035/2035,ZBO2037+EARTH_NEW20352035__BASE,true,8919.89,10931.06,540,1,1,0,45,0.06,
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2035/2036,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,8929.4,10760.52,1790,1,1,0,45,0.242,
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2035/2035,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,8932.94,10744.35,1790,1,1,0,45,0.235,
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2035/2036,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,8938.85,10782.41,1790,1,1,0,45,0.241,
