scenario_id,strategy,plan_id,feasible,discounted_cost_mln,total_cost_mln,capex_mln,min_service_total,min_service_critical,shortage_total_t,end_horizon_reserve_days,flexibility_share,required_intake_t_per_month,failed_constraints
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2035/2035,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,10720.07,13033.05,1790,1,1,0,45.1,0.226,41.1,
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2035/2035,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,10732.6,13058.22,1790,1,1,0,45,0.225,41.1,
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2035/2036,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,10752.13,13089.97,1790,1,1,0,45.1,0.245,41.1,
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2035/2036,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,10764.65,13115.15,1790,1,1,0,45,0.245,41.1,
BASE,ZBO 2036 + ISRU 2037 + Earth-New 2036/2037,ZBO2036+LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,10779.83,13151.35,1790,1,1,0,45.1,0.267,41.1,
BASE,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,10792.36,13176.53,1790,1,1,0,45,0.266,41.1,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2035/2035,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,10796.49,13033.05,1790,1,1,0,45.1,0.226,41.1,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2035/2035,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,10809.02,13058.22,1790,1,1,0,45,0.225,41.1,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2035/2036,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,10828.55,13089.97,1790,1,1,0,45.1,0.245,41.1,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2035/2036,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,10841.08,13115.15,1790,1,1,0,45,0.245,41.1,
BASE,ISRU 2037 + Earth-New 2035/2035,LUNAR_ISRU2037+EARTH_NEW20352035__BASE,true,10847.23,13232.3,1610,1,1,0,45.1,0.228,42.5,
BASE,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,ZBO2036+LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,10856.26,13151.35,1790,1,1,0,45.1,0.267,41.1,
BASE,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,ZBO2037+LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,10868.79,13176.53,1790,1,1,0,45,0.266,41.1,
BASE,ISRU 2037 + Earth-New 2035/2036,LUNAR_ISRU2037+EARTH_NEW20352036__BASE,true,10890.38,13301.93,1610,1,1,0,45.1,0.251,42.5,
BASE,ISRU 2036 + Earth-New 2035/2035,LUNAR_ISRU2036+EARTH_NEW20352035__BASE,true,10923.65,13232.3,1610,1,1,0,45.1,0.228,42.5,
BASE,ISRU 2037 + Earth-New 2036/2037,LUNAR_ISRU2037+EARTH_NEW20362037__BASE,true,10933.44,13382.12,1610,1,1,0,45.1,0.278,42.5,
BASE,ISRU 2036 + Earth-New 2035/2036,LUNAR_ISRU2036+EARTH_NEW20352036__BASE,true,10966.81,13301.93,1610,1,1,0,45.1,0.251,42.5,
BASE,ISRU 2036 + Earth-New 2036/2037,LUNAR_ISRU2036+EARTH_NEW20362037__BASE,true,11009.87,13382.12,1610,1,1,0,45.1,0.278,42.5,
BASE,ZBO 2036 + ISRU 2037,ZBO2036+LUNAR_ISRU2037__BASE,true,11012.91,13554.76,1430,1,1,0,45.1,0.402,41.1,
BASE,ZBO 2037 + ISRU 2037,ZBO2037+LUNAR_ISRU2037__BASE,true,11025.43,13579.94,1430,1,1,0,45,0.4,41.1,
BASE,ZBO 2036 + ISRU 2036,ZBO2036+LUNAR_ISRU2036__BASE,true,11089.33,13554.76,1430,1,1,0,45.1,0.402,41.1,
BASE,ZBO 2037 + ISRU 2036,ZBO2037+LUNAR_ISRU2036__BASE,true,11101.86,13579.94,1430,1,1,0,45,0.4,41.1,
BASE,ZBO 2036 + Earth-New 2035/2035,ZBO2036+EARTH_NEW20352035__BASE,true,11113.09,13766.27,540,1,1,0,45.1,0.158,41.1,
BASE,ZBO 2037 + Earth-New 2035/2035,ZBO2037+EARTH_NEW20352035__BASE,true,11125.62,13791.44,540,1,1,0,45,0.158,41.1,
BASE,ZBO 2036 + Earth-New 2035/2036,ZBO2036+EARTH_NEW20352036__BASE,true,11145.15,13823.19,540,1,1,0,45.1,0.178,41.1,
BASE,ZBO 2037 + Earth-New 2035/2036,ZBO2037+EARTH_NEW20352036__BASE,true,11157.67,13848.36,540,1,1,0,45,0.178,41.1,
BASE,ISRU 2037,LUNAR_ISRU2037__BASE,true,11177.49,13795.66,1250,1,1,0,37.5,0.414,41.7,
BASE,ISRU 2036,LUNAR_ISRU2036__BASE,true,11253.91,13795.66,1250,1,1,0,37.5,0.414,41.7,
BASE,Earth-New 2035/2035,EARTH_NEW20352035__BASE,true,11330.84,14088.2,360,1,1,0,44.7,0.177,42.5,
BASE,Earth-New 2035/2036,EARTH_NEW20352036__BASE,true,11374,14157.83,360,1,1,0,44.7,0.2,42.5,
BASE,ZBO 2036 + Earth-New 2036/2037,ZBO2036+EARTH_NEW20362037__BASE,true,11411.08,14176.41,540,1,1,0,45.1,0.253,41.1,
BASE,ZBO 2037 + Earth-New 2036/2037,ZBO2037+EARTH_NEW20362037__BASE,true,11423.61,14201.58,540,1,1,0,45,0.252,41.1,
BASE,Earth-New 2036/2037,EARTH_NEW20362037__BASE,true,11687.39,14569.19,360,1,1,0,44.7,0.273,42.5,
BASE,ZBO 2036,ZBO2036__BASE,false,10761.3,13333.79,180,0.8211,1,87.23,0,0.346,31.7,BASE_TOTAL_SERVICE:2040 RESERVE_45D:2040
BASE,Без инвестиций,NO_INVEST__BASE,false,10766.62,13355.89,0,0.7696,1,112.3,0,0.352,31.7,BASE_TOTAL_SERVICE:2040 RESERVE_45D:2040
BASE,ZBO 2037,ZBO2037__BASE,false,10773.84,13358.97,180,0.821,1,87.25,0,0.345,31.7,BASE_TOTAL_SERVICE:2040 RESERVE_45D:2040
