scenario_id,strategy,plan_id,feasible,discounted_cost_mln,total_cost_mln,capex_mln,min_service_total,min_service_critical,shortage_total_t,end_horizon_reserve_days,flexibility_share,required_intake_t_per_month,failed_constraints
BASE,ISRU 2037,LUNAR_ISRU2037__BASE,true,6917.54,8374.34,1250,1,1,0,45.1,0.299,27.2,
BASE,ZBO 2036 + ISRU 2037,ZBO2036+LUNAR_ISRU2037__BASE,true,6920.68,8341.84,1430,1,1,0,45.1,0.299,26.3,
BASE,ZBO 2037 + ISRU 2037,ZBO2037+LUNAR_ISRU2037__BASE,true,6923.97,8357.14,1430,1,1,0,45.1,0.298,26.3,
BASE,ISRU 2036,LUNAR_ISRU2036__BASE,true,6993.97,8374.34,1250,1,1,0,45.1,0.299,27.2,
BASE,ZBO 2036 + ISRU 2036,ZBO2036+LUNAR_ISRU2036__BASE,true,6997.11,8341.84,1430,1,1,0,45.1,0.299,26.3,
BASE,ZBO 2037 + ISRU 2036,ZBO2037+LUNAR_ISRU2036__BASE,true,7000.39,8357.14,1430,1,1,0,45.1,0.298,26.3,
BASE,ZBO 2036,ZBO2036__BASE,true,7057.79,8726.55,180,1,1,0,45.1,0.191,26.3,
BASE,ZBO 2037,ZBO2037__BASE,true,7061.07,8741.84,180,1,1,0,45.1,0.191,26.3,
BASE,ZBO 2036 + Earth-New 2035/2036,ZBO2036+EARTH_NEW20352036__BASE,true,7072.76,8640.83,540,1,1,0,45.1,0,26.3,
BASE,Earth-New 2035/2036,EARTH_NEW20352036__BASE,true,7074.25,8678.57,360,1,1,0,45.1,0.006,27.2,
BASE,ZBO 2037 + Earth-New 2035/2036,ZBO2037+EARTH_NEW20352036__BASE,true,7076.04,8656.12,540,1,1,0,45.1,0,26.3,
BASE,ZBO 2036 + Earth-New 2036/2037,ZBO2036+EARTH_NEW20362037__BASE,true,7076.49,8672.84,540,1,1,0,45.1,0.017,26.3,
BASE,ZBO 2037 + Earth-New 2036/2037,ZBO2037+EARTH_NEW20362037__BASE,true,7079.77,8688.13,540,1,1,0,45.1,0.017,26.3,
BASE,Earth-New 2036/2037,EARTH_NEW20362037__BASE,true,7087.81,8722.62,360,1,1,0,45.1,0.028,27.2,
BASE,ZBO 2036 + Earth-New 2035/2035,ZBO2036+EARTH_NEW20352035__BASE,true,7090.42,8640.83,540,1,1,0,45.1,0,26.3,
